date,agent,session_count,total_cost_usd,avg_cost_per_session,total_input_tokens,total_cache_creation_tokens,total_cache_read_tokens,total_output_tokens,error_count
2026-03-19,gerald,2,0.4844,0.2422,47,69251,203515,1895,0
2026-03-19,max,1,0.5602,0.5602,41,38088,351666,1799,0
2026-03-19,private_aye,1,0.51,0.51,68,33587,484173,2328,0
2026-03-19,susan,2,1.3903,0.6951,1157,97453,1189722,6891,0
2026-03-19,ALL,12,7.2701,0.6058,4911,487360,5444176,31592,0
2026-03-20,beth,2,1.2403,0.6201,117,98240,1130033,6620,0
2026-03-20,debater,8,5.5115,0.6889,3787,370031,5749322,27243,0
2026-03-20,gerald,2,0.5534,0.2767,113,72262,677777,4169,0
2026-03-20,max,3,1.8287,0.6096,1136,125271,1240466,5902,0
2026-03-20,private_aye,3,2.2261,0.742,133,115819,2296209,11563,0
2026-03-20,susan,2,1.4405,0.7202,145,116641,1694283,9406,0
2026-03-20,ALL,20,12.8005,0.64,5431,898264,12788090,64903,0
2026-03-21,beth,3,2.0281,0.676,148,138534,2277166,11175,0
2026-03-21,debater,8,5.2341,0.6543,573,423448,5170325,25053,0
2026-03-21,gerald,2,0.5897,0.2948,78,79487,613912,3919,0
2026-03-21,max,2,1.2549,0.6275,96,81305,763438,4417,0
2026-03-21,private_aye,2,1.2943,0.6472,77,78251,1156943,5084,0
2026-03-21,susan,3,2.4636,0.8212,1262,125299,2335246,14392,0
2026-03-21,ALL,20,12.8647,0.6432,2234,926324,12317030,64040,0
2026-03-22,beth,2,1.0639,0.5319,83,87112,848191,4788,0
2026-03-22,debater,8,4.9776,0.6222,1194,393473,4028608,20065,0
2026-03-22,gerald,3,0.7546,0.2515,98,78959,644047,5363,0
2026-03-22,max,2,1.2933,0.6466,2041,83394,664730,3987,0
2026-03-22,private_aye,3,2.0697,0.6899,238,134906,2015396,11132,0
2026-03-22,susan,2,1.6864,0.8432,1202,107611,1140060,6482,0
2026-03-22,ALL,20,11.8455,0.5923,4856,885455,9341032,51817,0
2026-03-23,beth,3,2.047,0.6823,1220,137630,1501403,10131,0
2026-03-23,debater,8,4.1092,0.5136,1616,295607,3154204,17727,0
2026-03-23,gerald,2,0.4749,0.2375,66,42630,418373,2859,0
2026-03-23,max,3,2.8899,0.9633,171,144198,2427097,13405,0
2026-03-23,private_aye,2,1.1231,0.5616,123,46428,965453,5572,0
2026-03-23,susan,2,1.1616,0.5808,109,84856,717612,5372,0
2026-03-23,ALL,20,11.8057,0.5903,3305,751349,9184142,55066,0
2026-03-24,beth,2,1.0651,0.5326,87,92308,582884,4409,0
2026-03-24,debater,8,4.799,0.5999,3778,347226,3932400,19971,0
2026-03-24,gerald,3,0.784,0.2613,82,130587,447516,2501,0
2026-03-24,max,2,1.4228,0.7114,97,85753,704903,4408,0
2026-03-24,private_aye,2,1.034,0.517,122,73477,960155,4167,0
2026-03-24,susan,3,2.472,0.824,1378,158262,1633324,10352,0
2026-03-24,ALL,20,11.5769,0.5788,5544,887613,8261182,45808,0
2026-03-25,beth,2,1.2038,0.6019,78,56802,807494,5445,0
2026-03-25,debater,8,4.0373,0.5047,361,293635,3131599,18985,0
2026-03-25,gerald,2,0.4665,0.2333,53,41418,268099,2312,0
2026-03-25,max,3,2.0826,0.6942,2289,147149,1214772,8156,0
2026-03-25,private_aye,3,1.8427,0.6142,181,110067,2106801,9843,0
2026-03-25,susan,2,1.512,0.756,988,76266,1327477,5851,0
2026-03-25,ALL,20,11.1449,0.5572,3950,725337,8856242,50592,0
2026-03-26,beth,3,1.6526,0.5509,1237,114710,986970,6214,0
2026-03-26,debater,8,4.5154,0.5644,362,356991,3642448,20142,0
2026-03-26,gerald,2,0.5891,0.2945,81,78878,624033,4062,0
2026-03-26,max,2,1.25,0.625,1160,93327,670170,3636,0
2026-03-26,private_aye,2,1.1759,0.5879,151,88671,1051806,5723,0
2026-03-26,susan,3,2.0555,0.6852,169,142767,1305558,7337,0
2026-03-26,ALL,20,11.2385,0.5619,3160,875344,8280985,47114,0
2026-03-27,beth,2,1.208,0.604,109,103563,782225,4999,0
2026-03-27,debater,8,5.0448,0.6306,413,385517,4471799,22826,0
2026-03-27,gerald,3,0.8815,0.2938,112,129976,935961,6468,0
2026-03-27,max,2,1.3587,0.6793,2107,97756,698749,3462,0
2026-03-27,private_aye,3,1.537,0.5123,105,89945,1693923,8164,1
2026-03-27,susan,2,1.2791,0.6396,1098,98711,674392,4230,0
2026-03-27,ALL,20,11.3091,0.5655,3944,905468,9257049,50149,1
2026-03-28,beth,3,1.6297,0.5432,148,138962,1204911,7739,0
2026-03-28,debater,8,5.1309,0.6414,447,415821,4255316,22222,0
2026-03-28,gerald,2,0.6911,0.3456,93,95985,699124,4280,0
2026-03-28,max,3,1.8937,0.6312,133,149449,1509322,6271,0
2026-03-28,private_aye,2,1.4303,0.7152,96,96536,1358877,6082,0
2026-03-28,susan,2,1.1739,0.5869,846,94859,576592,4317,0
2026-03-28,ALL,20,11.9496,0.5975,1763,991612,9604142,50911,0
2026-03-29,beth,2,1.165,0.5825,108,99816,944251,5644,0
2026-03-29,debater,7,4.1079,0.5868,396,327241,3442704,18491,0
2026-03-29,gerald,3,0.9275,0.3092,150,124182,1200770,7454,0
2026-03-29,max,2,1.2086,0.6043,1129,82995,452959,3546,0
2026-03-29,private_aye,2,1.2912,0.6456,110,57841,1366771,5789,0
2026-03-29,susan,3,1.8329,0.611,2245,130541,1271803,7988,0
2026-03-29,ALL,19,10.5331,0.5544,4138,822616,8679258,48912,0
2026-03-30,debater,1,0.7127,0.7127,77,45670,895467,5140,0
2026-03-30,max,1,0.3831,0.3831,17,43350,64374,816,0
2026-03-30,private_aye,1,0.7832,0.7832,65,61794,848244,3469,0
2026-03-30,ALL,3,1.879,0.6263,159,150814,1808085,9425,0
